specimen_number,Tmax01_100Y,Tmax02_100Y,Tmax03_100Y,Tmax04_100Y,Tmax05_100Y,Tmax06_100Y,Tmax07_100Y,Tmax08_100Y,Tmax09_100Y,Tmax10_100Y,Tmax11_100Y,Tmax12_100Y,Tmin01_100Y,Tmin02_100Y,Tmin03_100Y,Tmin04_100Y,Tmin05_100Y,Tmin06_100Y,Tmin07_100Y,Tmin08_100Y,Tmin09_100Y,Tmin10_100Y,Tmin11_100Y,Tmin12_100Y,Tave01_100Y,Tave02_100Y,Tave03_100Y,Tave04_100Y,Tave05_100Y,Tave06_100Y,Tave07_100Y,Tave08_100Y,Tave09_100Y,Tave10_100Y,Tave11_100Y,Tave12_100Y,PPT01_100Y,PPT02_100Y,PPT03_100Y,PPT04_100Y,PPT05_100Y,PPT06_100Y,PPT07_100Y,PPT08_100Y,PPT09_100Y,PPT10_100Y,PPT11_100Y,PPT12_100Y,DD_0_01_100Y,DD_0_02_100Y,DD_0_03_100Y,DD_0_04_100Y,DD_0_05_100Y,DD_0_06_100Y,DD_0_07_100Y,DD_0_08_100Y,DD_0_09_100Y,DD_0_10_100Y,DD_0_11_100Y,DD_0_12_100Y,DD5_01_100Y,DD5_02_100Y,DD5_03_100Y,DD5_04_100Y,DD5_05_100Y,DD5_06_100Y,DD5_07_100Y,DD5_08_100Y,DD5_09_100Y,DD5_10_100Y,DD5_11_100Y,DD5_12_100Y,DD_18_01_100Y,DD_18_02_100Y,DD_18_03_100Y,DD_18_04_100Y,DD_18_05_100Y,DD_18_06_100Y,DD_18_07_100Y,DD_18_08_100Y,DD_18_09_100Y,DD_18_10_100Y,DD_18_11_100Y,DD_18_12_100Y,DD18_01_100Y,DD18_02_100Y,DD18_03_100Y,DD18_04_100Y,DD18_05_100Y,DD18_06_100Y,DD18_07_100Y,DD18_08_100Y,DD18_09_100Y,DD18_10_100Y,DD18_11_100Y,DD18_12_100Y,NFFD01_100Y,NFFD02_100Y,NFFD03_100Y,NFFD04_100Y,NFFD05_100Y,NFFD06_100Y,NFFD07_100Y,NFFD08_100Y,NFFD09_100Y,NFFD10_100Y,NFFD11_100Y,NFFD12_100Y,PAS01_100Y,PAS02_100Y,PAS03_100Y,PAS04_100Y,PAS05_100Y,PAS06_100Y,PAS07_100Y,PAS08_100Y,PAS09_100Y,PAS10_100Y,PAS11_100Y,PAS12_100Y,Eref01_100Y,Eref02_100Y,Eref03_100Y,Eref04_100Y,Eref05_100Y,Eref06_100Y,Eref07_100Y,Eref08_100Y,Eref09_100Y,Eref10_100Y,Eref11_100Y,Eref12_100Y,CMD01_100Y,CMD02_100Y,CMD03_100Y,CMD04_100Y,CMD05_100Y,CMD06_100Y,CMD07_100Y,CMD08_100Y,CMD09_100Y,CMD10_100Y,CMD11_100Y,CMD12_100Y,RH01_100Y,RH02_100Y,RH03_100Y,RH04_100Y,RH05_100Y,RH06_100Y,RH07_100Y,RH08_100Y,RH09_100Y,RH10_100Y,RH11_100Y,RH12_100Y,Tmax_wt_100Y,Tmax_sp_100Y,Tmax_sm_100Y,Tmax_at_100Y,Tmin_wt_100Y,Tmin_sp_100Y,Tmin_sm_100Y,Tmin_at_100Y,Tave_wt_100Y,Tave_sp_100Y,Tave_sm_100Y,Tave_at_100Y,PPT_wt_100Y,PPT_sp_100Y,PPT_sm_100Y,PPT_at_100Y,DD_0_wt_100Y,DD_0_sp_100Y,DD_0_sm_100Y,DD_0_at_100Y,DD5_wt_100Y,DD5_sp_100Y,DD5_sm_100Y,DD5_at_100Y,DD_18_wt_100Y,DD_18_sp_100Y,DD_18_sm_100Y,DD_18_at_100Y,DD18_wt_100Y,DD18_sp_100Y,DD18_sm_100Y,DD18_at_100Y,NFFD_wt_100Y,NFFD_sp_100Y,NFFD_sm_100Y,NFFD_at_100Y,PAS_wt_100Y,PAS_sp_100Y,PAS_sm_100Y,PAS_at_100Y,Eref_wt_100Y,Eref_sp_100Y,Eref_sm_100Y,Eref_at_100Y,CMD_wt_100Y,CMD_sp_100Y,CMD_sm_100Y,CMD_at_100Y,RH_wt_100Y,RH_sp_100Y,RH_sm_100Y,RH_at_100Y,MAT_100Y,MWMT_100Y,MCMT_100Y,TD_100Y,MAP_100Y,MSP_100Y,AHM_100Y,SHM_100Y,DD_0_100Y,DD5_100Y,DD_18_100Y,DD18_100Y,NFFD_100Y,bFFP_100Y,eFFP_100Y,FFP_100Y,PAS_100Y,EMT_100Y,EXT_100Y,Eref_100Y,CMD_100Y,RH_100Y
AHUC100004,13.543,14.771,16.589,20.633,25.012,30.697,35.251,34.607,30.967,25.331,18.523,14.347,0.615,1.763,2.994,5.049,8.279,11.872,15.620000000000001,15.121,11.843,7.536,3.493,0.977,7.083,8.267,9.794,12.844,16.645,21.277,25.434,24.863,21.401,16.43,11.012,7.656,144.13,141.61,118.89,62.6,19.93,7.81,0,1.57,12.65,34.58,81.91,116.59,12.36,8,4.65,0.74,0,0,0,0,0,0,1.81,9.74,93.69,107.49,156.12,233.52,361.74,487.71,632.09,614.32,491.14,354.71,182.58,103.57,342.25,268.7,257.19,167,78.55,14.79,1.27,1.94,18.76,82.73,213.51,318.16,0.07,0.09,1,7.25,32.03,111.11,231.14,213.87,119.46,28.85,1.8,0.18,16.78,18.05,23.23,26.41,30.13,30,31,31,29.96,29.6,23.14,17.7,3.06,1.47,0.55,0.17,0,0,0,0,0,0,0.61,1.32,40.73,51.04,79.7,113.85,154.38,187.84,214.05,190.88,139.61,93.6,52.36,38.66,2.01,4.34,14.69,58.32,134.43,180.08,214.05,189.44,126.97,59.84,12.12,2.92,58.26,58.44,57.35,53.04,51.4,47.97,47.52,47.64,47.39,48.74,53.92,57.37,14.223,20.75,33.514,24.94,1.108,5.441,14.202,7.623,7.666,13.095,23.857,16.279,402.75,201.42,9.19,129.11,30.03,5.25,0,1.95,304.21,751.37,1734.11,1028.4,929.67,502.85,17.98,314.91,0.33,40.26,556.05,150.08,52.44,79.74,92,82.47,5.85,0.84,0,0.63,130.34,347.94,592.72,285.54,9.27,207.44,583.57,198.93,57.95,53.93,47.69,50.05,15.229,25.723,6.354,19.369,742.17,41.86,37.536,985.873,37.28,3818.66,1764.8,746.78,306.69,91.67,317.8,226.04,7.53,-16.2,44.1,1356.65,999.21,52.33
AHUC100005,13.293,14.703,16.623,20.47,24.931,30.598,35.213,34.514,30.91,25.139,18.392,14.122,0.899,2.263,3.487,5.467,8.642,12.276,15.99,15.441,12.303,7.984,3.781,1.23,7.103,8.483,10.054,12.97,16.78,21.433,25.604,24.976,21.606,16.558,11.087,7.673,137.3,135.67,116.19,60.53,19.37,7.97,0,1.61,11.51,33.35,79.34,110.18,12.28,7.4,4.11,0.69,0,0,0,0,0,0,1.73,9.63,93.99,111.9,162.8,237.07,365.94,492.26,637.17,617.98,497.28,358.63,184.64,103.88,341.76,262.78,249.55,163.62,75.75,13.9,1.16,1.8,17.47,80.06,211.28,317.64,0.07,0.13,1.2,7.73,33.6,114.78,236.19,217.33,124.2,30.18,1.93,0.18,17.54,19.23,24.28,27.05,30.32,30,31,31,29.97,29.89,23.75,18.41,2.85,1.27,0.44,0.15,0,0,0,0,0,0,0.59,1.23,39.94,50.36,79.1,112.14,152.9,186.06,212.69,189.33,138.47,92.31,51.78,37.95,2.01,4.41,14.86,58.29,133.57,178.11,212.69,187.76,126.92,59.79,12.2,3.05,59.79,60.27,58.68,54.6,52.49,49.12,48.46,48.63,48.65,50.33,55.14,58.72,14.040000000000001,20.672,33.438,24.816,1.455,5.866,14.568,8.019,7.745,13.268,24.001,16.421,383.48,196.1,9.47,124.27,29.4,4.9,0,1.88,309.26,765.84,1747.3,1040.54,922.77,488.95,16.85,308.77,0.36,42.48,568.38,156.35,55.07,81.6,92,83.49,5.34,0.72,0,0.6,128.28,344.21,588,282.63,9.47,206.72,578.56,198.91,59.6,55.24,48.75,51.33,15.361,25.874,6.427,19.445,713.06,40.42,39.273,1024.967,36.2,3863.45,1736.89,767.56,312.09,86.06,320.98,234.92,6.79,-15.6,44,1343.15,993.66,53.69
AHUC100006,12.463,14.891,17.136,20.901,25.474,31.052,35.243,34.713,31.261,25.614,17.835,13.473,1.018,2.72,3.494,5.475,8.756,12.165,15.436,14.735,11.968,8.414,3.878,1.702,6.743,8.805,10.314,13.189,17.117,21.611,25.341,24.723,21.614,17.02,10.858,7.589,157.11,144.5,120.4,67.24,27.42,8.24,2.54,3.29,11.78,41.04,84.82,113.78,13.6,6.95,3.89,0.63,0,0,0,0,0,0,1.89,9.93,86.66,118.59,169.21,243.18,375.99,497.48,629.17,610.04,497.5,372.4,178.74,101.92,352.76,253.89,241.99,157.9,69.48,13.12,1.35,2.03,17.56,71.61,217.79,320.44,0.05,0.26,1.64,8.64,37.41,119.13,228.22,209.47,124.37,35.78,1.68,0.2,17.76,20.28,24.38,26.99,30.42,30,31,31,29.96,30.18,23.96,19.75,3.8,1.14,0.37,0.15,0,0,0,0,0,0,0.71,1.37,36.88,49.44,80.32,113.7,155.73,189.15,213.76,191.28,139.54,92.12,48.98,35.11,1.41,3.8,14.13,54.94,128.32,180.89,211.27,188.05,127.76,53.65,9.79,2.5,62.45,61.09,57.32,53.57,51.55,47.86,47.07,46.53,47.06,50.34,56.79,61.9,13.602,21.174,33.673,24.903,1.803,5.905,14.112,8.091,7.708,13.538,23.893,16.497,415.75,215.04,14.16,137.71,30.44,4.62,0,2.04,306.74,788.33,1736.72,1048.63,927.53,469.38,16.38,306.92,0.5,47.64,556.85,161.88,57.77,81.7,92,83.92,6.33,0.64,0,0.73,121.46,349.71,594.22,280.66,7.71,197.39,580.21,191.2,61.83,54.15,47.15,51.43,15.408,25.647,6.16,19.486,782.32,53.3,35.785,673.483,37.08,3880.74,1719.87,766.88,315.28,83.55,323.21,239.72,7.88,-15.6,44.5,1346.05,976.51,53.63
AHUC100007,12.869,16.639,19.945,24.12,28.907,33.716,37.811,36.871,33.118,27.312,19.492,13.202,2.086,4.103,5.551,7.742,10.685,14.199,17.084,16.179,13.636,9.475,4.795,2.175,7.48,10.374,12.75,15.931000000000001,19.795,23.959,27.443,26.527,23.376,18.39,12.143,7.679,63.89,59.81,55.81,29.45,11.68,4.69,0,0,5.23,14.86,34.17,47.24,10.97,4.41,1.83,0.04,0,0,0,0,0,0,1.25,9.54,103.04,154.92,239.13,324.82,456.86,567.93,693.84,665.53,549.84,414.35,214.31,104.96,330,212.71,172.83,91.12,31.93,4.99,0.36,0.86,9.75,48.58,182.79,317.3,0.22,1.19,7.62,26.61,81.17,182.32,292.84,264.87,167.42,56.6,4.32,0.15,20.51,23.15,28.1,29.09,30.9,30,31,31,30,30.6,25.62,21.01,1.06,0.09,0,0,0,0,0,0,0,0,0.06,0.46,39.17,55.57,92.42,129.92,177.01,205.33,231.52,206.2,150.23,101.42,55.49,36.46,5.39,14.76,42.55,100.42,165.37,200.67,231.52,206.2,145.03,86.53,26.34,8.42,64.74,60.53,56.05,51.99,48.88,47.3,45.88,45.62,47.18,49.29,55.17,64.13,14.239,24.323,36.136,26.642,2.781,7.992,15.821,9.306,8.505,16.16,25.977,17.97,171.09,96.87,4.69,54.21,24.9,2.04,0,1.32,362.58,1020.72,1927.34,1178.48,860.51,295.91,6.29,241.06,1.6,115.35,740.15,228.33,64.66,88.06,92,86.14,1.77,0.01,0,0.07,131.09,399.27,643,307.24,28.57,308.34,638.39,257.9,63.1,52.29,46.22,50.58,17.161,27.635,6.801,20.833,326.73,21.57,92.388,2247.137,28.24,4489.42,1403.13,1085.41,330.78,62.35,331.23,268.86,2.01,-12.8,45.3,1480.64,1233.2,53.07
AHUC100008,13.458,15.465,17.536,21.114,24.632,29.124,33.455,33.211,30.766,25.311,18.065,13.775,2.21,3.204,3.814,4.895,7.354,10.141,11.814,11.389,9.846,7.17,4.11,2.234,7.839,9.331,10.671,13.011,15.992,19.635,22.622,22.297,20.311,16.231,11.087,7.992,201.99,186.58,122.35,62.99,24.41,6.41,0,2.68,16.7,50.43,123.71,167.02,9.73,5.83,3.41,0.59,0,0,0,0,0,0,1.74,8.62,104.14,124.98,172.87,234.87,342.05,438.37,545.68,535.48,458.62,348.84,180.09,106.78,319.1,239.64,231.15,162.12,90.19,25.89,4.6,6.15,25.69,85.35,210.87,307.59,0.06,0.24,1.32,5.57,21.81,75.65,145.59,136.52,94.48,22.97,0.94,0.1,20.84,21.24,25.1,26.36,29.63,30,31,31,29.52,29.36,24.33,21.14,2.88,1.04,0.26,0.07,0,0,0,0,0,0,0.86,1.54,36.51,48.95,79.76,114.33,151.84,178.91,207.9,186.41,137.81,89.79,47.34,33.64,0.69,3.43,12.63,58.68,127.46,172.54,207.87,183.74,121.15,46.47,5.9,0.96,63.47,60.97,57.29,51.46,49.84,47.07,42.37,41.96,43.15,47.84,56.89,62.75,14.229,21.095,31.929,24.71,2.545,5.356,11.111,7.04,8.385,13.222,21.52,15.875,556,209.78,9.1,190.79,24.25,4.08,0,1.82,335.75,749.73,1519.57,987.52,866.52,483.46,36.66,321.97,0.39,28.79,357.66,118.35,63.24,81.19,91.98,83.18,5.58,0.39,0,0.93,119.11,345.91,573.21,275.01,5.08,198.77,564.15,173.52,62.4,52.88,43.8,49.33,14.754,22.848,7.164,15.686,965.27,50.14,27.935,664.54,30.2,3592.72,1708.38,505.24,319.27,84.13,321.81,237.71,7.03,-13.1,43.9,1313.09,941.52,52.08
AHUC100009,13.154,13.604,14.561,15.387,16.203,17.62,18.03,18.213,18.363,17.486,15.856,13.622,4.378,5.118,5.354,6.296,7.615,8.812,9.212,9.422,9.156,7.918,6.346,4.775,8.761,9.36,9.957,10.852,11.907,13.209999999999999,13.616999999999999,13.816,13.755,12.705,11.104,9.202,174.59,157.95,126.2,67.6,33.36,8.36,2.98,6.23,17.03,61.57,122.61,160.42,7.53,5.76,4.17,1.4,0.02,0,0,0,0,0.42,1.67,6.27,114.2,114.9,142.87,173.47,218.41,246.17,267.65,274.17,263.83,241.59,172.6,125.55,290.42,238.83,252.1,220.03,195.91,146.95,137.2,132.18,139.34,173.49,210.14,270.79,0,0.01,0.06,0.11,0.36,6.26,4.32,6.18,12.41,0.11,0.04,0.02,25.9,24.89,27.9,28.12,29.86,29.82,31,30.99,29.22,29.91,27.73,26.97,1.78,0.85,0.37,0.44,0.33,0,0,0.04,0.22,0,0.82,0.8,32.54,40,62.85,78.86,93.59,100.48,102.63,92.62,74.87,57.35,38.08,30.09,0.29,1.49,4.24,26.54,61.31,92.17,99.63,86.35,58.4,17.06,1.91,0.42,71.24,72.18,70.16,70.71,72.42,72.06,72.07,72.2,70.93,69.75,69.58,71,13.462,15.387,17.956,17.239,4.751,6.42,9.143,7.806,9.108,10.902,13.548,12.522,493.29,227.12,17.58,201.26,19.54,5.73,0,2.36,354.46,534.71,787.91,678.03,800.07,667.97,416.25,523.01,0.01,0.53,16.7,12.56,77.71,85.88,91.15,86.87,3.51,1.37,0.06,1.11,102.61,235.28,295.86,170.38,2.2,92.09,278.15,77.37,71.51,71.07,72.09,70.08,11.52,14.149,8.132,6.013,938.93,67.97,24.284,268.979,27.7,2355.14,2407.24,29.79,341.81,43.64,335.84,292.27,6.22,-9.4,32.5,804.1,449.81,71.18
AHUC100010,13.181,16.633,19.918,24.108,29.445,34.401,38.833,37.85,33.844,27.611,19.629,13.668,1.821,3.719,4.854,6.896,9.706,13.685,17.054,16.211,13.722,9.136,4.897,2.039,7.501,10.171,12.385,15.498,19.572,24.047,27.943,27.024,23.778,18.366,12.267,7.8549999999999995,85.21,79.99,70.86,35.62,12.46,4.27,0.3,0,6.16,21.16,43.68,64.72,10.96,4.67,2.05,0.1,0,0,0,0,0,0,1.19,9.11,103.83,150.68,229.13,312.31,450.18,570.4,709.16,680.96,561.87,413.53,218.11,109.01,329.29,217.81,182.62,100.64,34.26,4.8,0.22,0.65,8.43,49.08,179.58,312.03,0.22,1.03,6.42,23.17,77.23,184.73,308.13,280.33,178.29,56.51,4.73,0.24,19.83,22.47,27.01,28.52,30.69,30,31,31,30,30.47,25.84,20.6,1.51,0.2,0,0.01,0,0,0,0,0,0,0.11,0.63,40.04,55.75,93.18,131.23,182.95,211.78,239.66,212.88,153.84,102.72,55.53,37.4,3.92,10.55,34.62,95.73,170.56,207.57,239.17,212.88,147.64,81.6,22.18,6.12,63.02,59.32,54.25,49.83,45.38,44.69,43.96,43.82,45.94,47.84,55.12,62.33,14.493,24.493,37.022,27.022,2.514,7.143,15.649,9.256,8.503,15.826,26.335,18.14,230.09,118.9,4.68,71.06,24.79,2.35,0,1.24,363.1,991.68,1960.46,1193.61,859.73,317.53,5.82,237.05,1.52,106.82,773.17,239.54,62.82,86.12,92,86.18,2.39,0.01,0,0.11,133.17,407.42,664.4,312.2,20.59,300.91,659.62,251.42,61.58,49.82,44.16,49.63,17.204,28.131,6.8709999999999996,21.255,424.5,23.35,71.23,2019.612,28.27,4509.23,1419.64,1120.97,327.2,69.21,329.66,260.47,2.73,-13.3,46,1517.05,1232.54,51.27
AHUC100011,12.726,15.135,17.486,21.265,25.461,30.042,33.53,32.856,30.411,25.101,17.827,13.112,2.661,3.711,4.37,5.919,8.629,11.458,13.659,12.875,11.84,9.093,5.377,3.049,7.702,9.428,10.928,13.59,17.049,20.754,23.598,22.87,21.125,17.097,11.6,8.081,146.17,139.47,99.53,43.59,11.55,4.85,0.61,1.67,8.69,28.36,71.76,121,10.13,5.63,3.16,0.47,0,0,0,0,0,0,1.5,8.54,102.49,128.29,181.21,252.71,373.93,471.82,575.38,553.07,482.92,374.97,195.01,109.89,323.4,237.32,223.72,146.76,69.16,17.39,2.98,4.79,20.16,68.77,196.92,304.95,0.08,0.27,1.77,8.55,33.79,98.23,174.54,153.09,112.94,33.79,2.04,0.17,21.94,22.44,26.2,27.69,30.37,30,31,31,29.97,30.54,26.55,23.17,2.11,0.65,0.12,0.04,0,0,0,0,0,0,0.38,1.04,35.09,48.23,79.6,114.03,155.22,182.99,204.71,181.98,133.93,87.8,46.49,32.33,1.45,4.76,18.35,72.8,143.65,178.18,204.05,180.43,125.29,59.96,12.04,1.92,66.94,63.42,59.01,53.9,51.31,48.33,46.37,45.92,48.49,53.25,61.21,67.11,13.661,21.403,32.146,24.443,3.137,6.305,12.664,8.773,8.394,13.854,22.404,16.603,406.99,154.76,7.07,108.8,24.4,3.65,0,1.56,340.44,807.87,1600.37,1052.83,866.02,439.64,25.18,285.82,0.5,44.09,425.84,148.72,67.51,84.23,92,86.82,3.94,0.22,0,0.4,115.67,348.88,569.69,268.3,8.13,234.8,562.66,197.29,65.81,54.7,46.86,54.3,15.321,23.754,7.136,16.61,677.18,27.38,41.872,1234.721,29.54,3801.72,1616.36,619.26,330.46,67.5,334.2,266.64,4.75,-12.4,43.1,1302.5,1002.88,55.4
BSCA0945,11.227,11.932,13.528,16.53,20.98,26.282,29.52,28.887,26.189,20.689,15.895,12.238,0.08,0.619,1.438,3.762,6.502,10.356,14.843,14.835,12.137,7.6,3.247,0.898,5.651,6.277,7.485,10.149,13.746,18.318,22.182,21.863,19.162,14.145,9.575,6.565,85.1,93.81,81.64,36.58,16.76,2.95,18.06,27.6,21.17,24.23,45.42,67.05,18.1,13.65,9.02,1.97,0,0,0,0,0,0.12,3.01,13.03,69,72.76,103.77,161.95,274.08,398.86,531.98,522.1,424.56,285.13,147.67,82.17,386.17,324.18,328.19,239.46,146.79,42.6,5.84,8.04,37.2,135.8,253.95,351.81,0.01,0,0.1,1.14,9.52,53.22,133.39,125.95,71.85,10.53,0.53,0.12,15.31,15.22,19.09,24.26,29.03,30,31,31,29.96,29.63,22.74,17.51,3.67,2.73,1.83,0.52,0.07,0,0,0,0.01,0,0.64,1.39,41.7,49.89,75.17,99.13,135.78,163.29,175.77,157.53,121.58,83.86,53.49,40.94,8.19,10.37,25.44,64.55,119.04,160.31,157.72,130.05,101.87,61,22.11,10.95,63.02,62.71,60.94,59.75,56.13,53.84,58.1,59.6,58.8,60,59.89,62.93,11.808,17.017,28.228,20.928,0.521,3.906,13.347,7.6610000000000005,6.157,10.458,20.786,14.293,246.14,135.05,48.61,90.73,44.8,10.95,0,3.38,223.56,539.84,1452.9,857.44,1062.7,714.44,56.45,427.04,0.09,10.8,312.57,83.01,47.99,72.38,91.96,82.18,7.9,2.55,0,0.71,132.62,310.19,496.5,258.99,29.51,209.03,448.08,184.98,62.86,58.93,57.15,59.63,12.923,22.514,4.88,17.629,520.23,86.48,51.817,358.039,59.11,3074.09,2260.18,406.45,294.43,106.13,317.35,211.24,11.26,-17.2,39.5,1198.25,871.6,59.61
CAS-BOT-BC263265,12.449,15.082,16.772,19.153,21.443,24.521,26.616,26.761,26.639,23.294,17.618,13.076,4.435,5.774,6.034,7.022,8.446,10.322,10.957,11.389,11.279,9.886,7.165,4.878,8.443,10.421,11.407,13.086,14.949,17.424,18.787,19.07,18.951999999999998,16.592,12.388,8.982,268.82,222.9,164.3,68.6,25.89,8.89,1.72,3.72,14.66,56.01,178.93,192.55,8.2,4.24,2.71,0.53,0,0,0,0,0,0,1.11,6.65,113.69,145.68,188.4,236.53,310.46,371.96,427.52,436.36,418.41,359.52,212.36,126.23,300.44,210.96,209.54,159.91,114.67,55.05,27.05,27.07,38.6,77.56,176.1,277.29,0.04,0.44,1.22,4.21,11.15,38.47,51.87,60.71,67.01,23.34,1.81,0.14,25.97,25.78,28.83,28.71,30.26,29.99,31,31,29.97,30.88,28.61,27.23,3,0.6,0.13,0.06,0.01,0,0,0,0,0,0.73,1.16,33.04,45.85,74.09,100.52,128.73,146.51,161.23,145.64,116.27,80.48,44.72,31.02,0.26,2.05,7.55,43.57,103.14,137.64,159.36,141.95,101.66,35.36,3.71,0.54,73.47,69.97,65.89,62.29,60.42,57.97,54.59,55.37,55.4,59.82,67.1,72.96,13.535,19.129,25.966,22.514,5.024,7.169,10.887,9.442,9.278,13.153,18.421,15.976,684.61,258.84,14.46,249.45,19.03,3.27,0,1.21,385.43,735.5,1235.85,990.25,789.11,484.1,109.26,292.34,0.58,16.59,151.08,92.18,79,87.88,91.94,89.14,4.79,0.34,0,0.81,109.88,303.26,453.37,241.43,2.85,154.26,438.95,140.73,72.12,62.92,56.03,60.76,14.21,19.262,8.019,11.239,1207.06,54.93,22.092,483.5,23.57,3347.22,1674.46,260.5,347.62,38.23,348.41,310.19,6.08,-9.2,39.7,1107.94,736.79,63
CAS-BOT-BC422397,11.99,14.63,16.337,18.464,20.902,23.894,26.287,26.594,26.525,22.988,17.288,12.636,4.471,5.77,5.939,6.937,8.349,10.281,10.898,11.399,11.335,10.03,7.241,4.946,8.23,10.203,11.132,12.702,14.625,17.085,18.596,18.991,18.933,16.508,12.266,8.793,308.65,223.99,164.67,75.55,28.01,11.97,1.73,3.81,14.38,67.09,185.49,224.26,8.75,4.61,2.87,0.74,0,0,0,0,0,0,1.15,6.99,108.87,140.56,181.11,225.38,300.88,361.89,421.64,433.88,417.78,357.14,208.85,121.67,307.07,216.62,217.33,170.39,122.98,61.05,29.34,27.93,38.85,79.15,179.27,283.17,0.01,0.29,0.88,2.96,9.19,33.91,48.21,59.14,66.6,22.53,1.59,0.11,26.05,25.77,28.69,28.64,30.21,29.99,31,31,29.97,30.89,28.7,27.34,3.75,0.75,0.24,0.09,0.01,0,0,0,0,0,0.82,1.43,31.56,44.46,72.15,96.71,125.23,142.03,158.95,144.44,115.51,78.83,43.67,29.78,0.16,1.93,7.05,37.53,97.72,130.08,157.1,140.62,101.22,30.15,3.4,0.38,75.07,71.2,66.84,63.98,61.58,59.46,55.25,55.9,55.9,61.01,68.2,74.53,13.081,18.565,25.591,22.267,5.054,7.078,10.861,9.54,9.063,12.818,18.22,15.901,757.3,268.28,17.72,266.84,20.19,3.61,0,1.27,370.88,707.4,1217.56,983.76,807.1,510.48,118.38,297.31,0.35,12.98,141.34,90.75,79.16,87.64,91.94,89.25,5.98,0.46,0,0.87,105.91,294.11,445.52,238.01,2.47,142.3,427.8,134.77,73.62,64.1,56.83,61.69,14.005,19.136,7.813,11.323,1309.65,60.06,20.194,437.56,25.1,3279.76,1733.04,245.52,347.73,37.79,349.22,311.4,7.46,-9.1,39.7,1083.55,707.34,64.11
CAS-BOT-BC7219,12.208,15.795,18.783,22.578,27.345,32.086,35.887,34.882,31.459,25.977,18.47,12.652,2.201,4.094,5.489,7.481,10.726,13.831,16.026,14.834,12.443,9.165,5.115,2.507,7.201,9.939,12.134,15.04,19.035,22.958,25.955,24.855,21.951999999999998,17.573,11.789,7.584,133.45,123.15,96.98,52.04,20.19,10.41,0.74,2.1,12.63,33.73,77.09,104.81,11.72,4.99,2.2,0.13,0,0,0,0,0,0,1.47,9.8,94.5,142.13,217.5,296.11,433.81,537.99,648.08,614.19,507.52,389.38,202.2,100.93,338.56,223.71,189.64,111.1,40.1,7.44,0.99,1.88,15.73,61.4,192.06,320.52,0.09,0.85,5.21,18.46,65.59,154.22,247.13,213.63,132.15,42.83,3.15,0.11,20.8,23.11,28.07,29.03,30.94,30,31,31,29.99,30.59,26.16,21.87,2.51,0.49,0.02,0.02,0,0,0,0,0,0,0.41,1.19,32.65,47.89,81.4,116.48,161.54,190.4,214.64,188.61,135.5,88.24,46.16,30.09,0.95,5.07,18.47,68.13,141.34,179.93,213.84,186.74,122.9,56.01,9.94,1.66,67.09,62.86,58.94,54.98,52.49,49.81,47.2,46.47,47.79,51.51,58.74,66.78,13.548,22.9,34.283,25.299,2.935,7.9,14.899000000000001,8.906,8.239,15.404,24.595,17.103,361.71,169.22,13.2,123.37,26.53,2.55,0,1.49,337.35,947.44,1800.27,1099.13,883.01,340.71,10.34,269.19,1.08,89.32,614.95,178.15,65.78,87.93,92,86.59,4.36,0.06,0,0.45,110.62,359.35,593.69,269.9,7.68,227.94,580.51,188.85,65.55,55.45,47.81,52.68,16.335,26.14,6.611,19.53,667.27,46,43.187,771.873,30.56,4184.31,1503.02,883.58,332.18,60.06,330.59,270.55,4.96,-12.4,43.8,1333.56,1004.98,55.38
CAS-BOT-BC95004,15.866,17.404,19.289,21.937,26.731,31.448,35.35,34.675,32.184,26.924,20.777,16.185,0.318,1.744,2.345,3.327,5.198,7.37,9.71,9.034,7.575,4.966,1.94,0.144,8.099,9.582,10.818,12.641,15.966,19.413,22.519,21.851,19.887,15.941,11.35,8.157,140.07,136.97,96.12,36.66,7.57,1.18,1.72,0,12.8,22.66,69.73,109.99,9.14,5.43,3.29,0.76,0,0,0,0,0,0,1.59,8.32,111.4,132.24,178.88,225.68,341.29,431.49,542.34,521.75,446.03,339.79,188.42,111,311.01,233.3,226.68,172.2,90.61,27.92,4.8,7.69,28.9,91.49,203.67,302.65,0.09,0.29,1.24,4,21.16,71.37,142.46,124.91,85.02,19.47,1.32,0.11,15.98,17.97,21.56,23.51,27.56,29.12,31,30.96,28.55,26.82,19.58,15.46,2,0.64,0.13,0.03,0,0,0,0,0,0,0.37,0.96,49.59,61.7,95.33,126.05,173.76,203.95,230.58,206.88,156.69,107.03,62.94,46.15,3.91,7.91,27.81,89.5,166.29,202.8,228.75,206.88,143.82,84.42,20.3,5.81,51.4,51.78,48.91,45.57,40.29,36.52,34.7,34.52,35.74,39.37,44.71,50.35,16.483,22.654,33.819,26.639,0.729,3.622,8.7,4.817,8.601,13.141,21.255,15.731,387.22,140.33,3.03,105.22,22.97,3.99,0,1.7,354.04,745.71,1495.61,974.26,847.73,489.48,40.5,324.07,0.47,26.37,338.76,105.86,49.26,72.64,90.76,74.94,3.59,0.23,0,0.38,157.55,395.15,641.51,326.65,17.63,283.6,638.43,248.54,51.14,44.98,35.24,39.93,14.68,22.641,7.339,15.31,635.7,23.37,43.855,1609.313,28.61,3570.24,1700.95,471.46,287.79,113.71,300.95,187.27,4.44,-17.3,44.5,1520.86,1188.2,42.85
